"SUMMARY"
"Policy Id","Policy Title","Policy Locking","Policy Modified","Policy Last Evaluated","Asset Groups","IPs","Asset Tags","PC Agent IPs","Technologies","Controls","Assets","Control Instances","Passed","Failures","Error","Approved Exceptions","Pending Exceptions"
"6316727","CIS Benchmark for Oracle Linux 9, v2.0.0 [Automated and Manual, Level 1 and Level 2] v.7.0","Locked","12/18/2025 at 12:47:26 (GMT+0000)","01/19/2026 at 20:05:22 (GMT+0000)","OEL 9.4 - for Compliance scan","","","No","Oracle Enterprise Linux 9.x","695","1","695","655(94.24%)","40(5.76%)","0","0","0"
Control Statistics (Percentage of Hosts Passed per Control)
"Order","Control ID","Deprecated","Statement","Criticality Label","Criticality Value","Percentage"
6.9,27145,0,"Status of 'systemd-journald' service using 'systemctl' on the host",SERIOUS,3,100% (1 of 1)
7.1,2152,0,"Permissions set for the '/etc/passwd' file",URGENT,5,100% (1 of 1)
7.2,4989,0,"Ownership set for the '/etc/passwd' file",URGENT,5,100% (1 of 1)
7.3,10690,0,"Status of the Permissions set for the '/etc/passwd-' file",CRITICAL,4,100% (1 of 1)
7.4,10691,0,"Status of the Ownership set for the '/etc/passwd-' file",CRITICAL,4,100% (1 of 1)
7.5,2189,0,"Status of the 'Permissions' settings for the '/etc/group' file",CRITICAL,4,100% (1 of 1)
7.6,4991,0,"Status of the 'Ownership' settings for the '/etc/group' file",CRITICAL,4,100% (1 of 1)
7.7,10694,0,"Status of the Permissions set for the '/etc/group-' file",CRITICAL,4,100% (1 of 1)
7.8,10695,0,"Status of the Ownership set for the '/etc/group-' file",CRITICAL,4,100% (1 of 1)
7.9,2188,0,"Permissions set for the '/etc/shadow' file",URGENT,5,100% (1 of 1)
1.10,29374,0,"Status of the hfsplus kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.11,28956,0,"Status of 'install hfsplus' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.12,29292,0,"Status of 'blacklist hfsplus' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.13,28957,0,"Status of the jffs2 kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.14,29283,0,"Status of 'install jffs2' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.15,29288,0,"Status of 'blacklist jffs2' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.16,28961,0,"Status of the squashfs kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.17,29284,0,"Status of 'install squashfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.18,29289,0,"Status of 'blacklist squashfs' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.19,28962,0,"Status of the udf kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.20,29285,0,"Status of 'install udf' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.21,29294,0,"Status of 'blacklist udf' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
1.22,28963,0,"Status of the usb-storage kernel available in any installed kernel",SERIOUS,3,100% (1 of 1)
1.23,29286,0,"Status of 'install usb-storage' setting from /lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf /usr/local/lib/modprobe.d/*.conf",SERIOUS,3,100% (1 of 1)
1.24,29291,0,"Status of the blacklist setting for the usb-storage module",SERIOUS,3,100% (1 of 1)
1.28,22686,0,"Status of '/tmp' using the 'findmnt' command.",CRITICAL,4,100% (1 of 1)
1.29,10860,0,"Status of the /tmp partition using systemctl utility ( Tmp.mount service status)",CRITICAL,4,100% (1 of 1)
1.30,29036,0,"Status of the nodev option set on /tmp partition",SERIOUS,3,100% (1 of 1)
1.31,29037,0,"Status of the nosuid option set on /tmp partition",SERIOUS,3,100% (1 of 1)
1.32,29038,0,"Status of the noexec option set on /tmp partition",SERIOUS,3,100% (1 of 1)
1.33,29039,0,"Status of the /dev/shm is a separate partition",SERIOUS,3,100% (1 of 1)
1.34,29040,0,"Status of the nodev option set on /dev/shm partition",SERIOUS,3,100% (1 of 1)
1.35,29041,0,"Status of the nosuid option set on /dev/shm partition",SERIOUS,3,100% (1 of 1)
1.36,29042,0,"Status of the noexec option set on /dev/shm partition",SERIOUS,3,100% (1 of 1)
1.37,29044,0,"Status of the separate partition exists for /home",SERIOUS,3,100% (1 of 1)
1.38,29045,0,"Status of the nodev option set on /home partition",SERIOUS,3,100% (1 of 1)
1.39,29046,0,"Status of the nosuid option set on /home partition",SERIOUS,3,100% (1 of 1)
1.40,29055,0,"Status of the separate partition exists for /var",SERIOUS,3,100% (1 of 1)
1.41,29056,0,"Status of the nodev option set on /var partition",SERIOUS,3,100% (1 of 1)
1.42,29057,0,"Status of the nosuid option set on /var partition",SERIOUS,3,100% (1 of 1)
1.43,29058,0,"Status of the separate partition exists for /var/tmp",SERIOUS,3,100% (1 of 1)
1.44,29059,0,"Status of the nodev option set on /var/tmp partition",SERIOUS,3,100% (1 of 1)
1.45,29060,0,"Status of the nosuid option set on /var/tmp partition",SERIOUS,3,100% (1 of 1)
1.46,29061,0,"Status of the noexec option set on /var/tmp partition",SERIOUS,3,100% (1 of 1)
1.47,29062,0,"Status of the separate partition exists for /var/log",SERIOUS,3,0% (0 of 1)
1.48,29063,0,"Status of the nodev option set on /var/log partition",SERIOUS,3,100% (1 of 1)
1.49,29064,0,"Status of the nosuid option set on /var/log partition",SERIOUS,3,100% (1 of 1)
1.50,29065,0,"Status of the noexec option set on /var/log partition",SERIOUS,3,100% (1 of 1)
1.51,29066,0,"Status of the separate partition exists for /var/log/audit",SERIOUS,3,0% (0 of 1)
1.52,29067,0,"Status of the nodev option set on /var/log/audit partition",SERIOUS,3,0% (0 of 1)
1.53,29068,0,"Status of the nosuid option set on /var/log/audit partition",SERIOUS,3,100% (1 of 1)
1.54,29069,0,"Status of the noexec option set on /var/log/audit partition",SERIOUS,3,100% (1 of 1)
1.59,22640,0,"Status of the 'gpgcheck' setting in /etc/dnf/dnf.conf file",SERIOUS,3,100% (1 of 1)
1.60,10847,0,"Status of the 'gpgcheck' setting within the /etc/yum.repos.d/* files",SERIOUS,3,100% (1 of 1)
1.65,10662,0,"Status of the 'SELinux' package on the host",SERIOUS,3,100% (1 of 1)
1.66,25396,0,"Status of the 'selinux' and 'enforcing' settings fetched with grubby command",SERIOUS,3,100% (1 of 1)
1.67,7432,0,"Status of the 'SELINUXTYPE' setting in the '/etc/selinux/config' file",CRITICAL,4,100% (1 of 1)
1.68,12880,0,"Status of 'Loaded policy name' setting through 'sestatus' (running configuration)",CRITICAL,4,100% (1 of 1)
1.69,17566,0,"Status of SELinux, using getenforce utility",CRITICAL,4,100% (1 of 1)
1.70,7431,0,"Status of the 'SELINUX' setting in the '/etc/selinux/config' file",CRITICAL,4,100% (1 of 1)
1.72,9376,0,"Status of the MCS Translation Service (mcstrans)",SERIOUS,3,100% (1 of 1)
1.73,7427,0,"Status of the currently installed 'setroubleshoot' packages on the host",CRITICAL,4,100% (1 of 1)
1.74,28220,0,"Status of 'GRUB2_PASSWORD=grub.pbkdf2.sha512' setting in /boot/grub2/user.cfg file",CRITICAL,4,100% (1 of 1)
1.75,29121,0,"Status of the ownership and permission of files in /boot/*",SERIOUS,3,100% (1 of 1)
1.76,7436,0,"Status of the network parameter 'kernel.randomize_va_space'",CRITICAL,4,100% (1 of 1)
1.77,28595,0,"Status of ASLR parameter kernel.randomize_va_space",SERIOUS,3,100% (1 of 1)
1.78,26815,0,"Status of 'kernel.randomize_va_space' specified in '/etc/default/ufw' file",SERIOUS,3,100% (1 of 1)
1.79,20632,0,"Status of the current setting for 'kernel.yama.ptrace_scope' parameter",SERIOUS,3,0% (0 of 1)
1.80,28632,0,"Status of the network parameter 'kernel.yama.ptrace_scope' from the config files",SERIOUS,3,0% (0 of 1)
1.81,26816,0,"Status of 'kernel.yama.ptrace_scope' specified in the file mentioned with 'IPT_SYSCTL' parameter in '/etc/default/ufw' file",SERIOUS,3,100% (1 of 1)
1.82,29027,0,"Status of the 'ProcessSizeMax' setting configured in '/etc/systemd/coredump.conf , /etc/systemd/coredump.conf.d/*.conf , /run/systemd/coredump.conf.d/*.conf and /usr/lib/systemd/coredump.conf.d/*.conf' file on the system",SERIOUS,3,100% (1 of 1)
1.83,29028,0,"Status of the 'Storage' setting configured in '/etc/systemd/coredump.conf , /etc/systemd/coredump.conf.d/*.conf , /run/systemd/coredump.conf.d/*.conf and /usr/lib/systemd/coredump.conf.d/*.conf' file on the system",SERIOUS,3,100% (1 of 1)
1.84,17141,0,"Status of the 'LEGACY' crypto policy from '/etc/crypto-policies/config' file",CRITICAL,4,100% (1 of 1)
1.85,17134,0,"Status of the 'CRYPTO_POLICY' setting in the '/etc/sysconfig/sshd' file",CRITICAL,4,100% (1 of 1)
1.86,27071,0,"Status of the 'SHA1' hashing algorithm and signature algorithm in the '/etc/crypto-policies/state/CURRENT.pol' file",SERIOUS,3,100% (1 of 1)
1.87,27072,0,"status of signature support for sha1 in /etc/crypto-policies/state/CURRENT.pol",SERIOUS,3,100% (1 of 1)
1.88,29123,0,"Status of the mac setting in /etc/crypto-policies/state/CURRENT.pol",SERIOUS,3,100% (1 of 1)
1.89,30909,0,"Status of the system wide crypto policy for ssh",CRITICAL,4,100% (1 of 1)
1.93,29142,0,"Status of the OS ID Kernel in /etc/motd",SERIOUS,3,100% (1 of 1)
1.94,10684,0,"Status of the contents of the login banner in '/etc/issue'",SERIOUS,3,100% (1 of 1)
1.95,4750,0,"Status of the 'banner' in the '/etc/issue.net' file",SERIOUS,3,100% (1 of 1)
1.96,5088,0,"Ownership set for the '/etc/motd' file",CRITICAL,4,100% (1 of 1)
1.97,2265,0,"Permissions set for the '/etc/motd' file",CRITICAL,4,100% (1 of 1)
1.98,2264,0,"Permissions set for the '/etc/issue' file",CRITICAL,4,100% (1 of 1)
1.99,4743,0,"Ownership set for the '/etc/issue' file",CRITICAL,4,100% (1 of 1)
2.10,10727,0,"Status of the 'Dynamic Host Configuration Protocol (DHCP) Server' using systemd",CRITICAL,4,100% (1 of 1)
2.11,29175,0,"Status of the dhcp server services are not in use",SERIOUS,3,100% (1 of 1)
2.12,24755,0,"Status of the dhcpd service using systemctl",SERIOUS,3,100% (1 of 1)
2.13,29296,0,"Status of dhcp6 service using systemctl",SERIOUS,3,100% (1 of 1)
2.14,9342,0,"Status of the DNS server",MEDIUM,2,100% (1 of 1)
2.15,9892,0,"Status of service named using systemd",SERIOUS,3,100% (1 of 1)
2.16,24748,0,"Status of 'named' service using systemctl",SERIOUS,3,100% (1 of 1)
2.17,25369,0,"Status of the dnsmasq package on the system",SERIOUS,3,100% (1 of 1)
2.18,9898,0,"status of service dnsmasq using systemd",SERIOUS,3,100% (1 of 1)
2.19,27785,0,"Status of 'dnsmasq' service using systemctl",SERIOUS,3,100% (1 of 1)
2.20,9346,0,"Status of the 'Samba' package",SERIOUS,3,100% (1 of 1)
2.21,9878,0,"Status of service smb using systemd",SERIOUS,3,100% (1 of 1)
2.22,24749,0,"Status of service smb using systemd",SERIOUS,3,100% (1 of 1)
2.23,9344,0,"Status of the vsftpd server",SERIOUS,3,100% (1 of 1)
2.24,9884,0,"Status of service vsftpd using systemd",MEDIUM,2,100% (1 of 1)
2.25,1416,0,"Status of the 'vsftpd' service",MEDIUM,2,100% (1 of 1)
2.26,9345,0,"Status of the 'Dovecot' (IMAP and POP3) server",SERIOUS,3,100% (1 of 1)
2.27,9887,0,"Status of the 'dovecot' service using systemd",CRITICAL,4,100% (1 of 1)
2.28,24740,0,"Status of the 'dovecot' service using systemctl",SERIOUS,3,100% (1 of 1)
2.29,27844,0,"Status of the 'dovecot.socket' service on host",SERIOUS,3,100% (1 of 1)
2.30,27788,0,"Status of 'dovecot.socket' service using systemctl",SERIOUS,3,100% (1 of 1)
2.31,23773,0,"Status of 'cyrus-imapd' package installed on the system",SERIOUS,3,100% (1 of 1)
2.32,9888,0,"Status of cyrus-imapd service using systemd",MEDIUM,2,100% (1 of 1)
2.33,29181,0,"Status of the message access server services",SERIOUS,3,100% (1 of 1)
2.34,22691,0,"Status of the 'nfs-utils' package.",SERIOUS,3,100% (1 of 1)
2.35,12757,0,"Status of the 'nfs-server' systemd service",SERIOUS,3,100% (1 of 1)
2.36,24747,0,"Status of the 'nfs-server' service using systemctl",SERIOUS,3,100% (1 of 1)
2.37,9373,0,"Status of the Network Information Service (NIS) server",CRITICAL,4,100% (1 of 1)
2.38,10728,0,"Status of the 'NIS (ypserv)' server using systemd",CRITICAL,4,100% (1 of 1)
2.39,24742,0,"Status of the ypserv service using systemctl",SERIOUS,3,100% (1 of 1)
2.40,22696,0,"Ensure CUPS is not installed",SERIOUS,3,100% (1 of 1)
2.41,27888,0,"Status of the 'cups.socket' service on host",SERIOUS,3,100% (1 of 1)
2.42,29184,0,"Status of the print server services",SERIOUS,3,100% (1 of 1)
2.43,27789,0,"Status of the 'cups.socket' using systemctl",SERIOUS,3,100% (1 of 1)
2.44,24737,0,"Status of the 'Common Unix Printing System (cups)' service using systemctl",SERIOUS,3,100% (1 of 1)
2.45,22692,0,"Status of the 'rpcbind' package installation.",MINIMAL,1,100% (1 of 1)
2.46,27889,0,"Status of the 'rpcbind.socket' service on host",SERIOUS,3,100% (1 of 1)
2.47,29211,0,"Status of the rpcbind services",SERIOUS,3,100% (1 of 1)
2.48,27790,0,"Status of the 'rpcbind.socket' using systemctl",SERIOUS,3,100% (1 of 1)
2.49,24738,0,"Status of the 'rpcbind' service using systemctl",SERIOUS,3,100% (1 of 1)
2.50,24260,0,"Status of the 'rsync-daemon' package installation",SERIOUS,3,100% (1 of 1)
2.51,29212,0,"Status of the rsync socket",SERIOUS,3,100% (1 of 1)
2.52,9985,0,"Status of the 'rsyncd' service using systemd",CRITICAL,4,100% (1 of 1)
2.53,29297,0,"Status of rsyncd.socket using systemctl",SERIOUS,3,100% (1 of 1)
2.54,24753,0,"Status of the 'rsyncd' service using systemctl",SERIOUS,3,100% (1 of 1)
2.55,9348,0,"Status of the Simple Network Management Protocol (SNMP)",CRITICAL,4,100% (1 of 1)
2.56,29185,0,"Status of the snmp services",SERIOUS,3,100% (1 of 1)
2.57,24750,0,"Status of service snmpd using systemctl",SERIOUS,3,100% (1 of 1)
2.58,8029,0,"Status of the 'telnet-server' package on the host",SERIOUS,3,100% (1 of 1)
2.59,9919,0,"Status of service telnet.socket using systemd",CRITICAL,4,100% (1 of 1)
2.60,24751,0,"Status of service telnet.socket using systemctl",SERIOUS,3,100% (1 of 1)
2.61,7960,0,"Status of the 'tftp-server' package and whether it is installed on the host",CRITICAL,4,100% (1 of 1)
2.62,10849,0,"Status of the service tftp.socket using systemd",SERIOUS,3,100% (1 of 1)
2.63,10637,0,"Status of tftp service",SERIOUS,3,100% (1 of 1)
2.64,29213,0,"Status of the tftp server services",SERIOUS,3,100% (1 of 1)
2.65,24752,0,"Status of the tftp service using systemctl",SERIOUS,3,100% (1 of 1)
2.66,9347,0,"Status of the HTTP Proxy Server(Squid)",CRITICAL,4,100% (1 of 1)
2.67,9883,0,"Status of service squid using systemd",MEDIUM,2,100% (1 of 1)
2.68,24741,0,"Status of service squid using systemctl",SERIOUS,3,100% (1 of 1)
2.69,9343,0,"Status of the HTTP server",SERIOUS,3,100% (1 of 1)
2.70,9881,0,"Status of the 'httpd' service using systemd",CRITICAL,4,100% (1 of 1)
2.71,24739,0,"Status of the 'httpd' service using systemctl",SERIOUS,3,100% (1 of 1)
2.72,29298,0,"Status of httpd socket using systemctl",SERIOUS,3,100% (1 of 1)
2.73,29214,0,"Status of the web server services",SERIOUS,3,100% (1 of 1)
2.74,23772,0,"Status of 'nginx' package installed on the system",SERIOUS,3,100% (1 of 1)
2.75,27894,0,"Status of the 'nginx' on host",SERIOUS,3,100% (1 of 1)
2.76,27893,0,"Status of the 'nginx' using systemctl",SERIOUS,3,100% (1 of 1)
2.77,9365,0,"Status of the xinetd package installation",SERIOUS,3,100% (1 of 1)
2.78,1117,0,"Status of the 'inetd' or 'xinetd' service",SERIOUS,3,100% (1 of 1)
2.79,27793,0,"Status of the 'xinetd.service' using systemctl",SERIOUS,3,100% (1 of 1)
2.80,21959,0,"Status of the X11 server package",SERIOUS,3,100% (1 of 1)
2.81,29358,0,"Status of the List of ports (25,465, and 587) using ss",SERIOUS,3,100% (1 of 1)
2.83,23775,0,"Status of 'ftp' package installed on the system",SERIOUS,3,100% (1 of 1)
2.84,9354,0,"Status of the LDAP daemon (openldap-clients)",MEDIUM,2,100% (1 of 1)
2.85,9372,0,"Status of the Network Information Service (NIS-client)",CRITICAL,4,100% (1 of 1)
2.86,7948,0,"Status of the 'telnet-client' package on the host",CRITICAL,4,100% (1 of 1)
2.87,9374,0,"Status of the 'Trivial File Transfer Protocol (TFTP)' protocol",CRITICAL,4,100% (1 of 1)
2.88,11328,0,"Status of the 'chrony' package",MEDIUM,2,100% (1 of 1)
2.89,28817,0,"status of 'pool|server' in /etc/chrony.conf and /etc/chrony.d/*.conf",SERIOUS,3,100% (1 of 1)
2.90,10664,0,"Status of the 'OPTIONS' setting within '/etc/sysconfig/chronyd' file",CRITICAL,4,100% (1 of 1)
2.91,26413,0,"Status of the 'cronie' package on the system",SERIOUS,3,0% (0 of 1)
2.92,29101,0,"Status of crond service is enabled using systemctl",SERIOUS,3,100% (1 of 1)
2.93,29324,0,"Status of crond service is active using systemctl",SERIOUS,3,100% (1 of 1)
2.94,5154,0,"Status of the 'Permissions' for the '/etc/crontab' file(s)",CRITICAL,4,100% (1 of 1)
2.95,5155,0,"Status of the 'Ownership' settings for the '/etc/crontab' file",CRITICAL,4,100% (1 of 1)
2.96,7343,0,"Status of the 'Permissions' settings for the '/etc/cron.hourly' directory",CRITICAL,4,100% (1 of 1)
2.97,7344,0,"Status of the 'Ownership' settings for the '/etc/cron.hourly' directory",CRITICAL,4,100% (1 of 1)
2.98,7341,0,"Status of the 'Permissions' settings for the '/etc/cron.daily' directory",CRITICAL,4,100% (1 of 1)
2.99,7342,0,"Status of the 'Ownership' settings for the '/etc/cron.daily' directory",CRITICAL,4,100% (1 of 1)
3.10,29389,0,"Status of the dccp kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
3.11,29390,0,"Status of 'install dccp' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.12,29391,0,"Status of 'blacklist dccp' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.13,29392,0,"Status of the tipc kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
3.14,29393,0,"Status of 'install tipc' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.15,29394,0,"Status of 'blacklist tipc' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.16,29395,0,"Status of the rds kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
3.17,29396,0,"Status of 'install rds' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.18,29397,0,"Status of 'blacklist rds' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.19,29398,0,"Status of the sctp kernel module available in any installed kernel",SERIOUS,3,100% (1 of 1)
3.20,29399,0,"Status of 'install sctp' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.21,29400,0,"Status of 'blacklist sctp' setting from '/lib/modprobe.d/*.conf /etc/modprobe.d/*.conf /run/modprobe.d/*.conf'",SERIOUS,3,100% (1 of 1)
3.22,5963,0,"Status of the current setting for 'net.ipv4.ip_forward' network parameter",CRITICAL,4,100% (1 of 1)
3.23,29229,0,"Status of net.ipv4.ip_forward in all config files",SERIOUS,3,100% (1 of 1)
3.24,26793,0,"Status of 'net.ipv4.ip_forward' specified in '/etc/default/ufw' file",SERIOUS,3,100% (1 of 1)
3.25,28688,0,"Status of the 'net.ipv6.conf.all.forwarding' verified across the system on the host",SERIOUS,3,100% (1 of 1)
3.26,26794,0,"Status of 'net.ipv6.conf.all.forwarding' specified in '/etc/default/ufw' file",SERIOUS,3,100% (1 of 1)
3.27,5965,0,"Status of the current setting for 'net.ipv4.conf.all.send_redirects' parameter",CRITICAL,4,100% (1 of 1)
